formula_id,stage,source_v4_line,source_v4_section,lhs,rhs,formula_line,parents,state_type,formula_role,observable,status,notes
V5_0001,magnetic,477,5. 磁选因果模型 / 5.2 控制设定不得孤立,B_eff,B_max*(1-exp(-I_exc/I_ref))*thermal_derate(T_coil),B_eff=B_max*(1-exp(-I_exc/I_ref))*thermal_derate(T_coil),B_max;I_exc;I_ref;thermal_derate;T_coil,derived,executable,no,manual_promoted,Manually promoted from concept/reference coverage review into executable formulas.
V5_0002,tower_mill,1301,10. DCS 具体生成公式和代理防护 / 10.3 塔磨 DCS 具体公式,C_feed,"C_feed_prev+(dt/max(tau_cyc_pool,eps))*(C_feed_in-C_feed_prev)","C_feed = C_feed_prev+(dt/max(tau_cyc_pool,eps))*(C_feed_in-C_feed_prev)",C_feed_prev;tau_cyc_pool;C_feed_in,derived,executable,no,canonical,
V5_0003,tower_mill,1291,10. DCS 具体生成公式和代理防护 / 10.3 塔磨 DCS 具体公式,C_feed_in,"(M_mag_conc_solid+M_tm_discharge_solid_prev)/max(M_mag_conc_wet+M_tm_discharge_wet_prev+M_water_add,eps)","C_feed_in = (M_mag_conc_solid+M_tm_discharge_solid_prev)/max(M_mag_conc_wet+M_tm_discharge_wet_prev+M_water_add,eps)",M_mag_conc_solid;M_tm_discharge_solid_prev;M_mag_conc_wet;M_tm_discharge_wet_prev;M_water_add,derived,executable,no,canonical,
V5_0004,boundary,317,4. 入口边界因果模型 / ,C_i,"clip(C_nom+k_load_C*(M_wet_i-M_nom_i)+k_clay_C*clay_i+xi_C_i,C_min,C_max)","C_i = clip(C_nom+k_load_C*(M_wet_i-M_nom_i)+k_clay_C*clay_i+xi_C_i,C_min,C_max)",C_nom;k_load_C;M_wet_i;M_nom_i;k_clay_C;clay_i;xi_C_i;C_min;C_max,derived,executable,no,canonical,
V5_0005,tower_mill,1359,10. DCS 具体生成公式和代理防护 / 10.3 塔磨 DCS 具体公式,C_mill,"M_sand/max(M_sand+M_mill_water_in,eps)","C_mill = M_sand/max(M_sand+M_mill_water_in,eps)",M_sand;M_mill_water_in,derived,executable,no,canonical,
V5_0006,boundary,383,4. 入口边界因果模型 / ,C_mixed,"M_solid_mixed/max(M_wet_mixed,eps)","C_mixed = M_solid_mixed/max(M_wet_mixed,eps)",M_solid_mixed;M_wet_mixed,derived,executable,no,canonical,
V5_0008,flotation,1456,10. DCS 具体生成公式和代理防护 / 10.4 浮选 DCS 具体公式,C_under_s,C_under_sp_s+(C_under_s_prev-C_under_sp_s)*exp(-dt/tau_NT_C),C_under_s = C_under_sp_s+(C_under_s_prev-C_under_sp_s)*exp(-dt/tau_NT_C),C_under_sp_s;C_under_s_prev;tau_NT_C,derived,executable,no,canonical,
V5_0010,flotation,1455,10. DCS 具体生成公式和代理防护 / 10.4 浮选 DCS 具体公式,C_under_sp_s,"clip(C_NT_nom+Kbed_NT*(L_NT_s-L_NT_ref)+Kload_NT*(M_NT_in_solid_s-M_NT_ref),C_NT_min,C_NT_max)","C_under_sp_s = clip(C_NT_nom+Kbed_NT*(L_NT_s-L_NT_ref)+Kload_NT*(M_NT_in_solid_s-M_NT_ref),C_NT_min,C_NT_max)",C_NT_nom;Kbed_NT;L_NT_s;L_NT_ref;Kload_NT;M_NT_in_solid_s;M_NT_ref;C_NT_min;C_NT_max,derived,executable,no,canonical,
V5_0012,flotation,1526,10. DCS 具体生成公式和代理防护 / 10.4 浮选 DCS 具体公式,Ca2_effect_s,k_cao_ca*dose_cao_kg_t_s,Ca2_effect_s=k_cao_ca*dose_cao_kg_t_s,k_cao_ca;dose_cao_kg_t_s,derived,executable,no,canonical,
V5_0013,flotation,1550,10. DCS 具体生成公式和代理防护 / 10.4 浮选 DCS 具体公式,DeltaP_blower_Pa_b,"1e6*max(P_blower_pressure_b-P_amb_pressure,0)","DeltaP_blower_Pa_b = 1e6*max(P_blower_pressure_b-P_amb_pressure,0)",e6;P_blower_pressure_b;P_amb_pressure,derived,executable,no,canonical,
