formula_id,line,h2,h3,block_start_line,fence_lang,lhs,rhs_excerpt,formula_line
F0005_82,82,1. 对旧设计的重新判定,1.2 新设计的核心原则,77,text,DCS,a*y + noise,DCS = a*y + noise
F0005_83,83,1. 对旧设计的重新判定,1.2 新设计的核心原则,77,text,DCS,a*final_conc_tfe + noise,DCS = a*final_conc_tfe + noise
F0007_101,101,2. 全局变量分类,2.1 外生变量,100,text,z_ore,"{ G_base,                 # 入口 TFe, 0-1 r_mag, r_hem, r_carb, r_sil, WI,                     # 难磨性/可磨性代理 clay,                   # 黏土/泥化代理 carbonate_buffer,       # 碳酸盐缓冲能力 silicate_buffer,        # 硅酸盐缓冲能力 ore_density_index,      # 固体密度变化代理 liberation_potential    # 同等磨矿能量下可解离性","z_ore = { G_base,                 # 入口 TFe, 0-1 r_mag, r_hem, r_carb, r_sil, WI,                     # 难磨性/可磨性代理 clay,                   # 黏土/泥化代理 carbonate_buffer,       # 碳酸盐缓冲能力 silicate_buffer,        # 硅酸盐缓冲能力 ore_density_index,      # 固体密度变化代理 liberation_potential    # 同等磨矿能量下可解离性"
F0007_112,112,2. 全局变量分类,2.1 外生变量,100,text,z_utility,"{ water_pressure, grid_voltage, ambient_temp, reagent_supply_pressure, air_supply_health","z_utility = { water_pressure, grid_voltage, ambient_temp, reagent_supply_pressure, air_supply_health"
F0007_120,120,2. 全局变量分类,2.1 外生变量,100,text,z_equipment,"{ mag_unit_health[], tm_unit_health[], cyclone_open_count, flo_cell_health[], pump_health[], sensor_fault_state[]","z_equipment = { mag_unit_health[], tm_unit_health[], cyclone_open_count, flo_cell_health[], pump_health[], sensor_fault_state[]"
F0007_129,129,2. 全局变量分类,2.1 外生变量,100,text,z_intervention,"{ PRBS_TD, PRBS_NaOH, PRBS_CaO, PRBS_air, PRBS_water, PRBS_feed_rate","z_intervention = { PRBS_TD, PRBS_NaOH, PRBS_CaO, PRBS_air, PRBS_water, PRBS_feed_rate"
F0009_144,144,2. 全局变量分类,2.1 外生变量,143,text,dWI_i,theta_WI*(WI_target_i-WI_i)*dt + sigma_WI*dW_WI_i,dWI_i = theta_WI*(WI_target_i-WI_i)*dt + sigma_WI*dW_WI_i
F0009_145,145,2. 全局变量分类,2.1 外生变量,143,text,dclay_i,theta_clay*(clay_target_i-clay_i)*dt + sigma_clay*dW_clay_i,dclay_i = theta_clay*(clay_target_i-clay_i)*dt + sigma_clay*dW_clay_i
F0009_146,146,2. 全局变量分类,2.1 外生变量,143,text,dr_carb_i,theta_carb*(r_carb_target_i-r_carb_i)*dt + sigma_carb*dW_carb_i,dr_carb_i = theta_carb*(r_carb_target_i-r_carb_i)*dt + sigma_carb*dW_carb_i
F0010_159,159,2. 全局变量分类,2.2 隐藏物料状态,158,text,Stream,"{ M_solid, M_water, C, Fe_mag, Fe_hem, Fe_carb, Fe_sil, Gangue, FeO_proxy, TFe, F200, F325, f25, d80, Liberation_fe, Liberation_gangue, WI, clay, T_slurry, rho_solid_mix, mu_slurry, buffer_capacity, hydrophobic_potential","Stream = { M_solid, M_water, C, Fe_mag, Fe_hem, Fe_carb, Fe_sil, Gangue, FeO_proxy, TFe, F200, F325, f25, d80, Liberation_fe, Liberation_gangue, WI, clay, T_slurry, rho_solid_mix, mu_slurry, buffer_capacity, hydrophobic_potential"
