lhs,v4_line,v4_section,formula_line,canonical_v4_line,canonical_formula_line,suggested_action
F325_mixed,218,2. 全局变量分类 / 2.2 隐藏物料状态,"F325_mixed = (M_solid_in1*F325_in1+M_solid_in2*F325_in2) / max(M_solid_in1+M_solid_in2,eps)",407,"F325_mixed = sum_i(M_solid_i*F325_i)/max(M_solid_mixed,eps)",supersede_or_merge
F325_mixed,407,4. 入口边界因果模型 / ,"F325_mixed = sum_i(M_solid_i*F325_i)/max(M_solid_mixed,eps)",407,"F325_mixed = sum_i(M_solid_i*F325_i)/max(M_solid_mixed,eps)",keep_canonical
I_exc,476,5. 磁选因果模型 / 5.2 控制设定不得孤立,"I_exc=sat_act(I_exc_sp,I_min,I_max,tau_exc)",1215,I_exc = I_exc_sp+(I_exc_prev-I_exc_sp)*exp(-dt/tau_exc_act),supersede_or_merge
I_exc,1215,10. DCS 具体生成公式和代理防护 / 10.2 磁选 DCS 具体公式,I_exc = I_exc_sp+(I_exc_prev-I_exc_sp)*exp(-dt/tau_exc_act),1215,I_exc = I_exc_sp+(I_exc_prev-I_exc_sp)*exp(-dt/tau_exc_act),keep_canonical
Liberation_fe_mixed,222,2. 全局变量分类 / 2.2 隐藏物料状态,"Liberation_fe_mixed = (M_solid_in1*Liberation_fe_in1+M_solid_in2*Liberation_fe_in2) / max(M_solid_in1+M_solid_in2,eps)",409,"Liberation_fe_mixed = sum_i(M_solid_i*Liberation_fe_i)/max(M_solid_mixed,eps)",supersede_or_merge
Liberation_fe_mixed,409,4. 入口边界因果模型 / ,"Liberation_fe_mixed = sum_i(M_solid_i*Liberation_fe_i)/max(M_solid_mixed,eps)",409,"Liberation_fe_mixed = sum_i(M_solid_i*Liberation_fe_i)/max(M_solid_mixed,eps)",keep_canonical
Liberation_gangue_mixed,226,2. 全局变量分类 / 2.2 隐藏物料状态,"Liberation_gangue_mixed = (M_solid_in1*Liberation_gangue_in1+M_solid_in2*Liberation_gangue_in2) / max(M_solid_in1+M_solid_in2,eps)",410,"Liberation_gangue_mixed = sum_i(M_solid_i*Liberation_gangue_i)/max(M_solid_mixed,eps)",supersede_or_merge
Liberation_gangue_mixed,410,4. 入口边界因果模型 / ,"Liberation_gangue_mixed = sum_i(M_solid_i*Liberation_gangue_i)/max(M_solid_mixed,eps)",410,"Liberation_gangue_mixed = sum_i(M_solid_i*Liberation_gangue_i)/max(M_solid_mixed,eps)",keep_canonical
M_mill_water_in,637,6. 塔磨与旋流器因果模型 / 6.3 塔磨功耗和解离,M_mill_water_in=M_sand_water+Q_sand_water_phys*rho_water,1358,M_mill_water_in = M_tm_sand_water+Q_sand_water_phys*rho_water,supersede_or_merge
M_mill_water_in,1358,10. DCS 具体生成公式和代理防护 / 10.3 塔磨 DCS 具体公式,M_mill_water_in = M_tm_sand_water+Q_sand_water_phys*rho_water,1358,M_mill_water_in = M_tm_sand_water+Q_sand_water_phys*rho_water,keep_canonical
P_cyc,574,6. 塔磨与旋流器因果模型 / 6.2 泵池与旋流器,"P_cyc=clip(kP*rho_slurry*(Q_pump/max(N_cyc_on,1))^2,P_min,P_max)",1316,"P_cyc = clip(kP*rho_feed*(Q_pump/max(N_cyc_on,1))^2,P_min,P_max)",supersede_or_merge
P_cyc,1316,10. DCS 具体生成公式和代理防护 / 10.3 塔磨 DCS 具体公式,"P_cyc = clip(kP*rho_feed*(Q_pump/max(N_cyc_on,1))^2,P_min,P_max)",1316,"P_cyc = clip(kP*rho_feed*(Q_pump/max(N_cyc_on,1))^2,P_min,P_max)",keep_canonical
P_mech,649,6. 塔磨与旋流器因果模型 / 6.3 塔磨功耗和解离,"P_mech=ZOH(P_mech,clip(P_mech_ss,0,1.15*P_rated),tau_P)",1370,P_mech = P_mech_ss+(P_mech_prev-P_mech_ss)*exp(-dt/tau_P),supersede_or_merge
P_mech,1370,10. DCS 具体生成公式和代理防护 / 10.3 塔磨 DCS 具体公式,P_mech = P_mech_ss+(P_mech_prev-P_mech_ss)*exp(-dt/tau_P),1370,P_mech = P_mech_ss+(P_mech_prev-P_mech_ss)*exp(-dt/tau_P),keep_canonical
Q_overflow,610,6. 塔磨与旋流器因果模型 / 6.2 泵池与旋流器,Q_overflow = M_overflow_solid/rho_solid_mix + M_overflow_water/rho_water,1339,Q_overflow = M_tm_overflow_solid/rho_solid_mix + M_tm_overflow_water/rho_water,supersede_or_merge
Q_overflow,1339,10. DCS 具体生成公式和代理防护 / 10.3 塔磨 DCS 具体公式,Q_overflow = M_tm_overflow_solid/rho_solid_mix + M_tm_overflow_water/rho_water,1339,Q_overflow = M_tm_overflow_solid/rho_solid_mix + M_tm_overflow_water/rho_water,keep_canonical
T_slurry_mixed,230,2. 全局变量分类 / 2.2 隐藏物料状态,"T_slurry_mixed = (M_wet_in1*Cp_slurry_in1*T_slurry_in1+M_wet_in2*Cp_slurry_in2*T_slurry_in2) / max(M_wet_in1*Cp_slurry_in1+M_wet_in2*Cp_slurry_in2,eps)",411,"T_slurry_mixed = sum_i(M_wet_i*Cp_slurry_i*T_slurry_i)/max(sum_i(M_wet_i*Cp_slurry_i),eps)",supersede_or_merge
T_slurry_mixed,411,4. 入口边界因果模型 / ,"T_slurry_mixed = sum_i(M_wet_i*Cp_slurry_i*T_slurry_i)/max(sum_i(M_wet_i*Cp_slurry_i),eps)",411,"T_slurry_mixed = sum_i(M_wet_i*Cp_slurry_i*T_slurry_i)/max(sum_i(M_wet_i*Cp_slurry_i),eps)",keep_canonical
alpha_ov,599,6. 塔磨与旋流器因果模型 / 6.2 泵池与旋流器,"alpha_ov=clip(sigmoid(kF*(F325_feed-F325_ref)+kP*(P_cyc-P_ref)-kC*(C-C_ref)-kmu*(mu_slurry-mu_ref)),0,1)",1329,"alpha_ov = clip( sigmoid(kF*(F325_feed-F325_ref)+kP*(P_cyc-P_ref)-kC*(C_feed-C_ref)-kmu*(mu_feed-mu_ref)), 0,1)",supersede_or_merge
alpha_ov,1329,10. DCS 具体生成公式和代理防护 / 10.3 塔磨 DCS 具体公式,"alpha_ov = clip( sigmoid(kF*(F325_feed-F325_ref)+kP*(P_cyc-P_ref)-kC*(C_feed-C_ref)-kmu*(mu_feed-mu_ref)), 0,1)",1329,"alpha_ov = clip( sigmoid(kF*(F325_feed-F325_ref)+kP*(P_cyc-P_ref)-kC*(C_feed-C_ref)-kmu*(mu_feed-mu_ref)), 0,1)",keep_canonical
clog_wash,502,5. 磁选因果模型 / 5.2 控制设定不得孤立,"clog_wash = c_flush_Q*Q_flush_lag/max(Q_flush_ref,eps) + c_pul_clog*f_pul_lag/max(f_pul_ref,eps)",1230,"clog_wash = c_flush_Q*Q_flush_prev/max(Q_flush_ref,eps) + c_pul_clog*f_pul_prev/max(f_pul_ref,eps)",supersede_or_merge
clog_wash,1230,10. DCS 具体生成公式和代理防护 / 10.2 磁选 DCS 具体公式,"clog_wash = c_flush_Q*Q_flush_prev/max(Q_flush_ref,eps) + c_pul_clog*f_pul_prev/max(f_pul_ref,eps)",1230,"clog_wash = c_flush_Q*Q_flush_prev/max(Q_flush_ref,eps) + c_pul_clog*f_pul_prev/max(f_pul_ref,eps)",keep_canonical
d50,598,6. 塔磨与旋流器因果模型 / 6.2 泵池与旋流器,"d50=d50_ref*(P_ref/max(P_cyc,eps))^aP*(C/C_ref)^aC*(mu_slurry/mu_ref)^amu",1328,"d50 = d50_ref*(P_ref/max(P_cyc,eps))^aP*(C_feed/C_ref)^aC*(mu_feed/mu_ref)^amu",supersede_or_merge
d50,1328,10. DCS 具体生成公式和代理防护 / 10.3 塔磨 DCS 具体公式,"d50 = d50_ref*(P_ref/max(P_cyc,eps))^aP*(C_feed/C_ref)^aC*(mu_feed/mu_ref)^amu",1328,"d50 = d50_ref*(P_ref/max(P_cyc,eps))^aP*(C_feed/C_ref)^aC*(mu_feed/mu_ref)^amu",keep_canonical
dL_pool/dt,569,6. 塔磨与旋流器因果模型 / 6.2 泵池与旋流器,dL_pool/dt=(Q_in-Q_pump-Q_spill)/A_pool,1311,dL_pool/dt = (Q_in+Q_return_sand+Q_water-Q_pump)/A_pool,supersede_or_merge
dL_pool/dt,1311,10. DCS 具体生成公式和代理防护 / 10.3 塔磨 DCS 具体公式,dL_pool/dt = (Q_in+Q_return_sand+Q_water-Q_pump)/A_pool,1311,dL_pool/dt = (Q_in+Q_return_sand+Q_water-Q_pump)/A_pool,keep_canonical
delta_T_mill,663,6. 塔磨与旋流器因果模型 / 6.3 塔磨功耗和解离,"delta_T_mill = P_mech*k_heat_conv/max(Q_pump*rho_slurry*Cp_slurry,eps)",1377,"delta_T_mill = P_mech*k_heat_conv/max(Q_pump*rho_feed*Cp_slurry,eps)",supersede_or_merge
delta_T_mill,1377,10. DCS 具体生成公式和代理防护 / 10.3 塔磨 DCS 具体公式,"delta_T_mill = P_mech*k_heat_conv/max(Q_pump*rho_feed*Cp_slurry,eps)",1377,"delta_T_mill = P_mech*k_heat_conv/max(Q_pump*rho_feed*Cp_slurry,eps)",keep_canonical
f_pul,490,5. 磁选因果模型 / 5.2 控制设定不得孤立,"f_pul=sat_act(f_pul_sp,f_pul_min,f_pul_max,tau_pul)",1236,f_pul = f_pul_sp+(f_pul_prev-f_pul_sp)*exp(-dt/tau_pul_act),supersede_or_merge
f_pul,1236,10. DCS 具体生成公式和代理防护 / 10.2 磁选 DCS 具体公式,f_pul = f_pul_sp+(f_pul_prev-f_pul_sp)*exp(-dt/tau_pul_act),1236,f_pul = f_pul_sp+(f_pul_prev-f_pul_sp)*exp(-dt/tau_pul_act),keep_canonical
