parent,classification,used_by_lhs,stages,source_v4_lines,notes
A_NT_s,parameter,L_NT_s,flotation,1453,"Calibration, geometry, or tuning parameter; not generated by process equations."
A_cell_c,parameter,"V_pulp_actual_{s,c};dL_cell_{s,c}/dt",flotation,1585;1620,"Calibration, geometry, or tuning parameter; not generated by process equations."
A_k6,parameter,dL_k6_s/dt,flotation,1510,"Calibration, geometry, or tuning parameter; not generated by process equations."
A_mag,parameter,dL_mag/dt,magnetic,1242,"Calibration, geometry, or tuning parameter; not generated by process equations."
A_ov_pool,parameter,dL_ov_pool/dt,tower_mill,1401,"Calibration, geometry, or tuning parameter; not generated by process equations."
A_pool,parameter,dL_pool/dt;tau_cyc_pool,tower_mill,1290;1311,"Calibration, geometry, or tuning parameter; not generated by process equations."
A_pool_k,parameter,"dL_pool_{s,k}/dt",flotation,1637,"Calibration, geometry, or tuning parameter; not generated by process equations."
B_max,parameter,B_eff,magnetic,477,"Calibration, geometry, or tuning parameter; not generated by process equations."
B_ref,parameter,capture_j,magnetic,518,"Calibration, geometry, or tuning parameter; not generated by process equations."
CL_ref,parameter,grind_difficulty;u_sand_sp,tower_mill,1324;1363,"Calibration, geometry, or tuning parameter; not generated by process equations."
C_NT_max,parameter,C_under_sp_s,flotation,1455,"Calibration, geometry, or tuning parameter; not generated by process equations."
C_NT_min,parameter,C_under_sp_s,flotation,1455,"Calibration, geometry, or tuning parameter; not generated by process equations."
C_NT_nom,parameter,C_under_sp_s,flotation,1455,"Calibration, geometry, or tuning parameter; not generated by process equations."
C_feed_prev,previous_state_reference,C_feed,tower_mill,1301,Lagged state supplied by the simulator state store.
C_max,parameter,C_i,boundary,317,"Calibration, geometry, or tuning parameter; not generated by process equations."
C_min,parameter,C_i,boundary,317,"Calibration, geometry, or tuning parameter; not generated by process equations."
C_nom,parameter,C_i,boundary,317,"Calibration, geometry, or tuning parameter; not generated by process equations."
C_opt,parameter,floatability_difficulty;grind_difficulty,flotation;tower_mill,1363;1478,"Calibration, geometry, or tuning parameter; not generated by process equations."
C_opt_c,stream_or_state_input,"E_density_{s,c}",flotation,1596,Upstream stream or dynamic state entering this formula from process topology.
C_orifice_c,stream_or_state_input,"Q_air_{s,c}",flotation,1557,Upstream stream or dynamic state entering this formula from process topology.
C_ref,known_global,"Q_air_sp_{s,c};alpha_ov;capture_j;d50",flotation;magnetic;tower_mill,1328;1329;1535;518,Shared simulation constant or helper function.
C_sand,stream_or_state_input,u_sand_sp,tower_mill,1324,Upstream stream or dynamic state entering this formula from process topology.
C_sand_sp,stream_or_state_input,u_sand_sp,tower_mill,1324,Upstream stream or dynamic state entering this formula from process topology.
C_sp,stream_or_state_input,u_water_sp,tower_mill,1319,Upstream stream or dynamic state entering this formula from process topology.
C_under_s_prev,previous_state_reference,C_under_s,flotation,1456,Lagged state supplied by the simulator state store.
Ca2_effect,ore_or_process_state,hydrophobic_potential,global,250,Ore property or process state carried by streams or generated at boundary.
Ca_carb0,parameter,E_Ca2_carb_s,flotation,manual,"Calibration, geometry, or tuning parameter; not generated by process equations."
Ca_sil0,parameter,E_Ca2_sil_s,flotation,manual,"Calibration, geometry, or tuning parameter; not generated by process equations."
Cp_reagent_j,parameter,"reagent_heat_load_{s,k}",flotation,1650,"Calibration, geometry, or tuning parameter; not generated by process equations."
Cp_slurry,parameter,delta_T_mill,tower_mill,1377,"Calibration, geometry, or tuning parameter; not generated by process equations."
Cp_slurry_i,parameter,T_slurry_mixed,boundary,411,"Calibration, geometry, or tuning parameter; not generated by process equations."
Cp_slurry_mag,parameter,T_slurry_feed_in,tower_mill,1296,"Calibration, geometry, or tuning parameter; not generated by process equations."
Cp_slurry_tm,parameter,T_slurry_feed_in,tower_mill,1296,"Calibration, geometry, or tuning parameter; not generated by process equations."
Cv_flush,parameter,Q_flush,magnetic,1262,"Calibration, geometry, or tuning parameter; not generated by process equations."
Cv_lv_c,parameter,"Q_out_cell_{s,c}",flotation,1584,"Calibration, geometry, or tuning parameter; not generated by process equations."
Cv_sand,parameter,Q_sand_water_phys,tower_mill,1326,"Calibration, geometry, or tuning parameter; not generated by process equations."
Cv_tail1,parameter,Q_tail_1,magnetic,1250,"Calibration, geometry, or tuning parameter; not generated by process equations."
Cv_tail2,parameter,Q_tail_2,magnetic,1251,"Calibration, geometry, or tuning parameter; not generated by process equations."
Cv_water,parameter,Q_water_phys,tower_mill,1321,"Calibration, geometry, or tuning parameter; not generated by process equations."
F200,stream_or_state_input,Stream;capture_j;f_ring_sp;magnetic_difficulty,global;magnetic,1207;1235;159;518,Upstream stream or dynamic state entering this formula from process topology.
F200_ref,parameter,capture_j,magnetic,518,"Calibration, geometry, or tuning parameter; not generated by process equations."
F325,stream_or_state_input,Stream;f_pul_sp;floatability_difficulty,flotation;global;magnetic,1234;1478;159,Upstream stream or dynamic state entering this formula from process topology.
F325_discharge_prev,previous_state_reference,F325_discharge;F325_feed_in,tower_mill,1292;1379,Lagged state supplied by the simulator state store.
F325_feed_prev,previous_state_reference,F325_feed,tower_mill,1302,Lagged state supplied by the simulator state store.
F325_mag_conc,stream_or_state_input,F325_feed_in,tower_mill,1292,Upstream stream or dynamic state entering this formula from process topology.
F325_min_c,stream_or_state_input,"E_size_{s,c}",flotation,1597,Upstream stream or dynamic state entering this formula from process topology.
F325_ref,parameter,alpha_ov,tower_mill,1329,"Calibration, geometry, or tuning parameter; not generated by process equations."
F325_s,stream_or_state_input,"E_size_{s,c};floatability_difficulty_s",flotation,1597;manual,Upstream stream or dynamic state entering this formula from process topology.
FeO_proxy,stream_or_state_input,Stream,global,159,Upstream stream or dynamic state entering this formula from process topology.
Fe_carb,stream_or_state_input,Fe_total;Stream;rho_solid_mix,global,159;177;185,Upstream stream or dynamic state entering this formula from process topology.
Fe_hem,stream_or_state_input,Fe_total;Stream;rho_solid_mix,global,159;177;185,Upstream stream or dynamic state entering this formula from process topology.
Fe_mag,stream_or_state_input,Fe_total;Stream;rho_solid_mix,global,159;177;185,Upstream stream or dynamic state entering this formula from process topology.
Fe_sil,stream_or_state_input,Fe_total;Stream;rho_solid_mix,global,159;177;185,Upstream stream or dynamic state entering this formula from process topology.
G_base_i,parameter,TFe_i,boundary,320,"Calibration, geometry, or tuning parameter; not generated by process equations."
G_max,parameter,TFe_i,boundary,320,"Calibration, geometry, or tuning parameter; not generated by process equations."
G_min,parameter,TFe_i,boundary,320,"Calibration, geometry, or tuning parameter; not generated by process equations."
Gangue,known_global,M_solid;Stream;conc_j;rho_solid_mix,global;magnetic,159;178;185;534,Shared simulation constant or helper function.
H_lip_reference_c,parameter,"lip_clearance_{s,c}",flotation,1587,"Calibration, geometry, or tuning parameter; not generated by process equations."
H_pool_k,parameter,"I_pool_phys_{s,k}",flotation,1641,"Calibration, geometry, or tuning parameter; not generated by process equations."
I0_NT,parameter,I_NT_s,flotation,1465,"Calibration, geometry, or tuning parameter; not generated by process equations."
I0_cell_c,parameter,"I_cell_motor_phys_{s,c}",flotation,1656,"Calibration, geometry, or tuning parameter; not generated by process equations."
I0_j,parameter,"I_drug_j_phys_{s,j}",flotation,1501,"Calibration, geometry, or tuning parameter; not generated by process equations."
I0_ov,parameter,I_ov_pump_phys,tower_mill,1404,"Calibration, geometry, or tuning parameter; not generated by process equations."
I0_pool_k,parameter,"I_pool_phys_{s,k}",flotation,1641,"Calibration, geometry, or tuning parameter; not generated by process equations."
I0_pump,parameter,I_pump_phys,tower_mill,1317,"Calibration, geometry, or tuning parameter; not generated by process equations."
I0_ring,parameter,I_ring_motor_phys,magnetic,1264,"Calibration, geometry, or tuning parameter; not generated by process equations."
"I_drug_j_phys_{s,drug}",equipment_or_control_state,fx_s{s}_{drug}_curr,flotation,1688,Equipment state or actuator signal generated by another execution block.
I_exc_prev,previous_state_reference,I_exc,magnetic,1215,Lagged state supplied by the simulator state store.
I_idle_mixer_k,equipment_or_control_state,"I_mixer_phys_{s,k}",flotation,1651,Equipment state or actuator signal generated by another execution block.
I_max,parameter,I_exc_sp,magnetic,1214,"Calibration, geometry, or tuning parameter; not generated by process equations."
I_min,parameter,I_exc_sp,magnetic,1214,"Calibration, geometry, or tuning parameter; not generated by process equations."
I_nom,parameter,I_exc_sp,magnetic,1214,"Calibration, geometry, or tuning parameter; not generated by process equations."
I_ref,parameter,B_eff,magnetic,477,"Calibration, geometry, or tuning parameter; not generated by process equations."
I_tm_ref,parameter,M_feed_sp,flotation,1622,"Calibration, geometry, or tuning parameter; not generated by process equations."
KP_header_b,parameter,blower_speed_sp_b,flotation,1544,"Calibration, geometry, or tuning parameter; not generated by process equations."
KQ_blower_b,parameter,blower_speed_sp_b,flotation,1544,"Calibration, geometry, or tuning parameter; not generated by process equations."
KT_steam_k,parameter,"u_steam_sp_{s,k}",flotation,1648,"Calibration, geometry, or tuning parameter; not generated by process equations."
KWI_feed,parameter,M_feed_sp,flotation,1622,"Calibration, geometry, or tuning parameter; not generated by process equations."
K_CL_sand,parameter,u_sand_sp,tower_mill,1324,"Calibration, geometry, or tuning parameter; not generated by process equations."
K_C_sand,parameter,u_sand_sp,tower_mill,1324,"Calibration, geometry, or tuning parameter; not generated by process equations."
K_C_water,parameter,u_water_sp,tower_mill,1319,"Calibration, geometry, or tuning parameter; not generated by process equations."
K_L_tail,parameter,u_tail_total_sp,magnetic,1243,"Calibration, geometry, or tuning parameter; not generated by process equations."
K_L_water,parameter,u_water_sp,tower_mill,1319,"Calibration, geometry, or tuning parameter; not generated by process equations."
K_Qff,parameter,f_pump_sp,tower_mill,1313,"Calibration, geometry, or tuning parameter; not generated by process equations."
K_asym_tail,parameter,split_tail_1,magnetic,1244,"Calibration, geometry, or tuning parameter; not generated by process equations."
K_cool_T,parameter,u_oil_cooler_sp,tower_mill,1388,"Calibration, geometry, or tuning parameter; not generated by process equations."
K_oil_P,parameter,f_oil_pump_sp,tower_mill,1385,"Calibration, geometry, or tuning parameter; not generated by process equations."
K_oil_T,parameter,f_oil_pump_sp,tower_mill,1385,"Calibration, geometry, or tuning parameter; not generated by process equations."
K_ov_L,parameter,f_ov_pump_sp,tower_mill,1402,"Calibration, geometry, or tuning parameter; not generated by process equations."
K_scrape_P_c,parameter,"scraper_speed_{s,c}",flotation,1563,"Calibration, geometry, or tuning parameter; not generated by process equations."
Kair_header,parameter,P_header_sp,flotation,1537,"Calibration, geometry, or tuning parameter; not generated by process equations."
Kbed_NT,parameter,C_under_sp_s,flotation,1455,"Calibration, geometry, or tuning parameter; not generated by process equations."
Kbuf_cao,parameter,dose_need_cao_s,flotation,1522,"Calibration, geometry, or tuning parameter; not generated by process equations."
Kbuf_naoh,parameter,dose_need_naoh_s,flotation,1521,"Calibration, geometry, or tuning parameter; not generated by process equations."
Kcarb_cao,parameter,dose_need_cao_s,flotation,1522,"Calibration, geometry, or tuning parameter; not generated by process equations."
Kcarb_k6,parameter,dose_need_DF_K6_s,flotation,1493,"Calibration, geometry, or tuning parameter; not generated by process equations."
Kcarb_sp,parameter,pH_sp_s,flotation,1520,"Calibration, geometry, or tuning parameter; not generated by process equations."
Kclay_pul,parameter,f_pul_sp,magnetic,1234,"Calibration, geometry, or tuning parameter; not generated by process equations."
Kclog_bd,parameter,u_blowdown_phys,magnetic,1254,"Calibration, geometry, or tuning parameter; not generated by process equations."
Kclog_flush_N,parameter,N_flush_open,magnetic,1255,"Calibration, geometry, or tuning parameter; not generated by process equations."
Kclog_flush_u,parameter,u_flush_sp,magnetic,1256,"Calibration, geometry, or tuning parameter; not generated by process equations."
Kclog_ring,parameter,f_ring_sp,magnetic,1235,"Calibration, geometry, or tuning parameter; not generated by process equations."
Kcoarse_pul,parameter,f_pul_sp,magnetic,1234,"Calibration, geometry, or tuning parameter; not generated by process equations."
Kcoarse_ring,parameter,f_ring_sp,magnetic,1235,"Calibration, geometry, or tuning parameter; not generated by process equations."
Kdensity_c,parameter,"Q_air_sp_{s,c}",flotation,1535,"Calibration, geometry, or tuning parameter; not generated by process equations."
Kdiff_I,parameter,I_exc_sp,magnetic,1214,"Calibration, geometry, or tuning parameter; not generated by process equations."
Kdiff_clean,parameter,dose_need_TD_clean_s,flotation,1492,"Calibration, geometry, or tuning parameter; not generated by process equations."
Kdiff_td,parameter,dose_need_TD_rough_s,flotation,1491,"Calibration, geometry, or tuning parameter; not generated by process equations."
Kff,parameter,u_sp,global,282,"Calibration, geometry, or tuning parameter; not generated by process equations."
Kflow_naoh,parameter,dose_need_naoh_s,flotation,1521,"Calibration, geometry, or tuning parameter; not generated by process equations."
Kfroth_feed,parameter,M_feed_sp,flotation,1622,"Calibration, geometry, or tuning parameter; not generated by process equations."
Kfroth_td,parameter,dose_need_TD_rough_s,flotation,1491,"Calibration, geometry, or tuning parameter; not generated by process equations."
Kh_c,parameter,"Q_air_sp_{s,c}",flotation,1535,"Calibration, geometry, or tuning parameter; not generated by process equations."
Khydro_c,parameter,"Q_air_sp_{s,c}",flotation,1535,"Calibration, geometry, or tuning parameter; not generated by process equations."
Ki,template_index,u_sp,global,282,Short template index resolved during code generation.
Ki_L_c,parameter,"u_lv_sp_{s,c}",flotation,1582,"Calibration, geometry, or tuning parameter; not generated by process equations."
Kload_NT,parameter,C_under_sp_s,flotation,1455,"Calibration, geometry, or tuning parameter; not generated by process equations."
Kload_c,parameter,"Q_air_sp_{s,c}",flotation,1535,"Calibration, geometry, or tuning parameter; not generated by process equations."
Kload_flush_N,parameter,N_flush_open,magnetic,1255,"Calibration, geometry, or tuning parameter; not generated by process equations."
Kload_flush_u,parameter,u_flush_sp,magnetic,1256,"Calibration, geometry, or tuning parameter; not generated by process equations."
Kload_pul,parameter,f_pul_sp,magnetic,1234,"Calibration, geometry, or tuning parameter; not generated by process equations."
Kload_td,parameter,dose_need_TD_rough_s,flotation,1491,"Calibration, geometry, or tuning parameter; not generated by process equations."
Kmag_I,parameter,I_exc_sp,magnetic,1214,"Calibration, geometry, or tuning parameter; not generated by process equations."
